accuracy,timestamp,type,value
3,398083956458419000,HeartRate,87
3,398084956464826000,HeartRate,86
3,398085956471180000,HeartRate,85
3,398086956477586000,HeartRate,84
3,398087956483992000,HeartRate,84
3,398088956490399000,HeartRate,85
3,398089956496805000,HeartRate,84
3,398090956503211000,HeartRate,85
3,398091956509617000,HeartRate,86
3,398092956516024000,HeartRate,84
3,398093956522430000,HeartRate,83
2,398094956528784000,HeartRate,84
2,398095956535190000,HeartRate,84
2,398096956541597000,HeartRate,84
3,398095401531649000,HeartBeat,1
3,398096052535815000,HeartBeat,1
2,398097956548003000,HeartRate,85
3,398096706539982000,HeartBeat,1
3,398097358544201000,HeartBeat,1
3,398098956554409000,HeartRate,87
3,398098018548419000,HeartBeat,1
3,398099956560815000,HeartRate,88
3,398098668552586000,HeartBeat,1
3,398099305556649000,HeartBeat,1
3,398100956567222000,HeartRate,89
3,398099943560711000,HeartBeat,1
3,398101956573628000,HeartRate,90
3,398100584564826000,HeartBeat,1
3,398101230568940000,HeartBeat,1
3,398102956579982000,HeartRate,91
3,398101894573211000,HeartBeat,1
3,398103956586388000,HeartRate,91
3,398104956592794000,HeartRate,91
3,398105956599201000,HeartRate,91
3,398106956605607000,HeartRate,91
3,398105199594357000,HeartBeat,1
3,398105874598680000,HeartBeat,1
3,398106568603107000,HeartBeat,1
3,398107956612013000,HeartRate,90
3,398107270607638000,HeartBeat,1
3,398108956618419000,HeartRate,89
3,398107986612222000,HeartBeat,1
3,398109956624826000,HeartRate,89
3,398108697616753000,HeartBeat,1
3,398109394621232000,HeartBeat,1
3,398110956631232000,HeartRate,88
3,398110096625711000,HeartBeat,1
3,398111956637586000,HeartRate,87
3,398110780630086000,HeartBeat,1
3,398111441634305000,HeartBeat,1
3,398112956643992000,HeartRate,87
3,398112104638576000,HeartBeat,1
3,398113956650399000,HeartRate,88
3,398112772642847000,HeartBeat,1
3,398113434647065000,HeartBeat,1
3,398114956656805000,HeartRate,88
3,398114109651388000,HeartBeat,1
3,398115956663211000,HeartRate,88
3,398114789655763000,HeartBeat,1
3,398115474660138000,HeartBeat,1
3,398116956669617000,HeartRate,88
3,398116175664617000,HeartBeat,1
3,398117956676024000,HeartRate,87
3,398116882669149000,HeartBeat,1
3,398118956682430000,HeartRate,87
3,398117586673628000,HeartBeat,1
3,398118297678211000,HeartBeat,1
3,398119956688784000,HeartRate,86
3,398119016682794000,HeartBeat,1
3,398120956695190000,HeartRate,86
3,398119720687274000,HeartBeat,1
3,398120430691857000,HeartBeat,1
3,398121956701597000,HeartRate,85
3,398121149696440000,HeartBeat,1
3,398122956708003000,HeartRate,85
3,398121858700972000,HeartBeat,1
3,398122559705451000,HeartBeat,1
3,398123956714409000,HeartRate,85
3,398123265709982000,HeartBeat,1
3,398124956720815000,HeartRate,84
3,398123976714513000,HeartBeat,1
3,398125956727222000,HeartRate,84
3,398124706719201000,HeartBeat,1
3,398125446723940000,HeartBeat,1
3,398126956733628000,HeartRate,84
3,398126190728680000,HeartBeat,1
3,398127956739982000,HeartRate,83
3,398126942733524000,HeartBeat,1
3,398128956746388000,HeartRate,83
3,398127686738263000,HeartBeat,1
3,398128421743003000,HeartBeat,1
3,398129956752794000,HeartRate,82
3,398129140747586000,HeartBeat,1
3,398130956759201000,HeartRate,82
3,398129831752013000,HeartBeat,1
3,398130520756440000,HeartBeat,1
3,398131956765607000,HeartRate,83
3,398131220760919000,HeartBeat,1
3,398132956772013000,HeartRate,83
3,398131920765399000,HeartBeat,1
3,398133956778419000,HeartRate,83
3,398132636769982000,HeartBeat,1
3,398133362774617000,HeartBeat,1
3,398134956784826000,HeartRate,83
3,398134099779305000,HeartBeat,1
3,398135956791232000,HeartRate,83
3,398134831783992000,HeartBeat,1
3,398135570788732000,HeartBeat,1
3,398136956797586000,HeartRate,83
3,398136301793419000,HeartBeat,1
3,398137956804281000,HeartRate,83
3,398137006797251000,HeartBeat,1
3,398138956809699000,HeartRate,83
3,398137708801730000,HeartBeat,1
3,398138413806209000,HeartBeat,1
3,398139956816105000,HeartRate,83
3,398139127810792000,HeartBeat,1
3,398140956822511000,HeartRate,83
3,398139848815428000,HeartBeat,1
3,398141956828917000,HeartRate,83
3,398140574820063000,HeartBeat,1
3,398141307824751000,HeartBeat,1
3,398142956835324000,HeartRate,83
3,398142035829438000,HeartBeat,1
3,398143956841730000,HeartRate,83
3,398142753834022000,HeartBeat,1
3,398143467838553000,HeartBeat,1
3,398144956848084000,HeartRate,83
3,398144171843084000,HeartBeat,1
3,398145956854490000,HeartRate,83
3,398144880847615000,HeartBeat,1
3,398146956860897000,HeartRate,83
3,398145600852251000,HeartBeat,1
3,398146319856834000,HeartBeat,1
3,398147956867303000,HeartRate,83
3,398147039861417000,HeartBeat,1
3,398148956873709000,HeartRate,83
3,398147778866157000,HeartBeat,1
3,398148510870844000,HeartBeat,1
3,398149956880115000,HeartRate,83
3,398149232875480000,HeartBeat,1
3,398150956886522000,HeartRate,83
3,398149949880063000,HeartBeat,1
3,398151956892928000,HeartRate,83
3,398150658884594000,HeartBeat,1
3,398151369889126000,HeartBeat,1
3,398152956899334000,HeartRate,83
3,398152096893813000,HeartBeat,1
3,398153956905688000,HeartRate,83
3,398152818898449000,HeartBeat,1
3,398153549903084000,HeartBeat,1
3,398154956912094000,HeartRate,83
3,398154275907772000,HeartBeat,1
3,398155956918501000,HeartRate,83
3,398155003912407000,HeartBeat,1
3,398156956924907000,HeartRate,83
3,398155736917094000,HeartBeat,1
3,398156461921730000,HeartBeat,1
3,398157956931313000,HeartRate,83
3,398157158926209000,HeartBeat,1
3,398158956937719000,HeartRate,83
3,398157852930636000,HeartBeat,1
3,398158547935115000,HeartBeat,1
3,398159956944126000,HeartRate,83
3,398159240939542000,HeartBeat,1
3,398160956950532000,HeartRate,83
3,398159953944074000,HeartBeat,1
3,398161956956886000,HeartRate,84
3,398160669948657000,HeartBeat,1
3,398161380953240000,HeartBeat,1
3,398162956963292000,HeartRate,84
3,398162085957719000,HeartBeat,1
3,398163956969699000,HeartRate,84
3,398162802962303000,HeartBeat,1
3,398163509966834000,HeartBeat,1
3,398164956976105000,HeartRate,84
3,398164201971261000,HeartBeat,1
3,398165956982511000,HeartRate,85
3,398164886975636000,HeartBeat,1
3,398166956988917000,HeartRate,85
3,398165564980011000,HeartBeat,1
3,398166259984438000,HeartBeat,1
3,398167956995324000,HeartRate,85
3,398166946988865000,HeartBeat,1
3,398168957001730000,HeartRate,85
3,398167640993292000,HeartBeat,1
3,398168348997824000,HeartBeat,1
3,398169957008084000,HeartRate,85
3,398169051002303000,HeartBeat,1
3,398170957014490000,HeartRate,85
3,398169752006782000,HeartBeat,1
3,398170459011313000,HeartBeat,1
3,398171957020897000,HeartRate,84
3,398171163015844000,HeartBeat,1
3,398172957027303000,HeartRate,84
3,398171860020272000,HeartBeat,1
3,398172548024699000,HeartBeat,1
3,398173957033709000,HeartRate,84
3,398173224029022000,HeartBeat,1
3,398174957040115000,HeartRate,85
3,398173907033397000,HeartBeat,1
3,398175957046522000,HeartRate,85
3,398174612037876000,HeartBeat,1
3,398175326042459000,HeartBeat,1
3,398176957052928000,HeartRate,85
3,398176046047094000,HeartBeat,1
3,398177957059334000,HeartRate,84
3,398176778051782000,HeartBeat,1
3,398177506056417000,HeartBeat,1
3,398178957065688000,HeartRate,84
3,398178233061053000,HeartBeat,1
3,398179957072094000,HeartRate,84
3,398178957065688000,HeartBeat,1
3,398180957078501000,HeartRate,83
3,398179668070272000,HeartBeat,1
3,398180359074699000,HeartBeat,1
3,398181957084907000,HeartRate,84
3,398181059079178000,HeartBeat,1
3,398182957091313000,HeartRate,84
3,398181744083553000,HeartBeat,1
3,398182447088032000,HeartBeat,1
3,398183957097719000,HeartRate,84
3,398183147092511000,HeartBeat,1
3,398184957104126000,HeartRate,84
3,398183838096938000,HeartBeat,1
3,398184546101469000,HeartBeat,1
3,398185957110532000,HeartRate,84
3,398185239105897000,HeartBeat,1
3,398186957116886000,HeartRate,84
3,398185935110376000,HeartBeat,1
3,398187957123292000,HeartRate,84
3,398186630114803000,HeartBeat,1
3,398187326119282000,HeartBeat,1
3,398188957129699000,HeartRate,84
3,398188033123813000,HeartBeat,1
3,398189957136105000,HeartRate,84
3,398188750128397000,HeartBeat,1
3,398189466132980000,HeartBeat,1
3,398190957142511000,HeartRate,84
3,398190185137563000,HeartBeat,1
3,398191957148917000,HeartRate,84
3,398190911142199000,HeartBeat,1
3,398192957155324000,HeartRate,84
3,398191615146730000,HeartBeat,1
3,398192313151209000,HeartBeat,1
3,398193957161730000,HeartRate,84
3,398192996155584000,HeartBeat,1
3,398194957168136000,HeartRate,84
3,398193665159855000,HeartBeat,1
3,398194327164074000,HeartBeat,1
3,398195957174490000,HeartRate,85
3,398194999168397000,HeartBeat,1
3,398196957180897000,HeartRate,85
3,398195674172719000,HeartBeat,1
3,398196357177094000,HeartBeat,1
3,398197957188738000,HeartRate,85
3,398197049182489000,HeartBeat,1
3,398198957194676000,HeartRate,85
